name,baseType,dustValIlvl84,dustValIlvl84Q20,slots
Entropic Devastation,Assassin's Mitts,505462,640253,4
Cloak of Tawm'r Isley,Savant's Robe,317625,444675,6
Arakaali's Fang,Fiend Dagger,290675,406945,3
Martyr of Innocence,Highborn Staff,282225,395115,8
Song of the Sirens,Fishing Rod,279875,391825,4
Replica Alberon's Warpath,Soldier Boots,258275,361585,4
Replica Maloney's Mechanism,Ornate Quiver,229475,321265,6
Replica Trypanon,Great Mallet,197950,277130,8
Gruthkul's Pelt,Wyrmscale Doublet,186575,261205,6
Dialla's Malefaction,Sage's Robe,181150,253610,6
Ralakesh's Impatience,Riveted Boots,175875,246225,4
Skyforth,Sorcerer Boots,174425,244195,4
Wraithlord,Bone Circlet,165775,232085,4
Eyes of the Greatwolf,Greatwolf Talisman,685000,959000,1
The Dark Seer,Shadow Sceptre,156250,218750,6
Ryslatha's Coil,Studded Belt,156250,218750,2
Shade of Solaris,Sage Wand,147275,206185,3
Void Battery,Prophecy Wand,141825,198555,3
Rigwald's Quills,Two-Point Arrow Quiver,141825,198555,6
The Brass Dome,Gladiator Plate,141825,198555,6
Light of Lunaris,Jingling Spirit Shield,138825,194355,4
Seven-League Step,Rawhide Boots,133675,187145,4
Warrior's Legacy,Ruby Ring,133675,187145,1
Astral Projector,Topaz Ring,133675,187145,1
Aegis Aurora,Champion Kite Shield,126000,176400,6
Atziri's Splendour,Sacrificial Garb,122325,171255,6
Shroud of the Lightless,Carnal Armour,118775,166285,6
Voll's Devotion,Agate Amulet,115300,161420,1
Shavronne's Revelation,Moonstone Ring,115300,161420,1
Windripper,Imperial Bow,115300,161420,8
Magna Eclipsis,Pinnacle Tower Shield,115300,161420,8
Doryani's Fist,Vaal Gauntlets,111950,156730,4
Indigon,Hubris Circlet,223900,268680,4
Farrul's Fur,Triumphant Lamellar,111950,156730,6
Farrul's Chase,Slink Boots,111950,156730,4
Kaom's Heart,Glorious Plate,108700,152180,6
Rathpith Globe,Titanium Spirit Shield,108700,152180,4
Prism Guardian,Archon Kite Shield,108700,152180,6
Broken Faith,Archon Kite Shield,108700,152180,6
Cospri's Malice,Jewelled Foil,108700,152180,4
Inpulsa's Broken Heart,Sadist Garb,108700,152180,6
Hand of Wisdom and Action,Imperial Claw,3500,4900,4
The Red Trail,Titan Greaves,3500,4900,4
Doryani's Delusion,Sorcerer Boots,108700,152180,4
The Queen's Hunger,Vaal Regalia,108700,152180,6
Maloney's Mechanism,Ornate Quiver,108700,152180,6
Badge of the Brotherhood,Turquoise Amulet,108700,152180,1
The Immortal Will,Archon Kite Shield,108700,152180,6
Replica Kaom's Heart,Glorious Plate,108700,152180,6
Replica Red Trail,Titan Greaves,108700,152180,4
Viridi's Veil,Praetor Crown,108700,152180,4
Doppelgänger Guise,Sadist Garb,108700,152180,6
Thunderfist,Murder Mitts,105525,147735,4
Steppan Eard,Sorcerer Boots,105525,147735,4
Heretic's Veil,Deicide Mask,105525,147735,4
Machina Mitts,Murder Mitts,105525,147735,4
Sporeguard,Saint's Hauberk,105525,147735,6
Doryani's Prototype,Saint's Hauberk,105525,147735,6
Paradoxica,Vaal Rapier,102450,143430,4
The Yielding Mortality,Imperial Staff,102450,143430,8
Replica Paradoxica,Vaal Rapier,102450,143430,4
Replica Allure,Vaal Claw,102450,143430,4
Hyrri's Ire,Zodiac Leather,99475,139265,6
The Formless Inferno,Royal Burgonet,17400,24360,4
The Perfect Form,Zodiac Leather,17400,24360,6
Doedre's Skin,Widowsilk Robe,99475,139265,6
The Eternity Shroud,Blood Raiment,198950,238740,6
Replica Perfect Form,Zodiac Leather,99475,139265,6
Replica Hyrri's Ire,Zodiac Leather,99475,139265,6
Varunastra,Vaal Blade,1609475,2253265,6
Uul-Netol's Embrace,Vaal Axe,16900,23660,8
The Surrender,Ezomyte Tower Shield,96575,135205,8
Disintegrator,Maelström Staff,193150,231780,8
Loreweave,Elegant Ringmail,96575,135205,6
Replica Loreweave,Elegant Ringmail,96575,135205,6
Yaomac's Accord,Vaal Sceptre,96575,135205,6
Replica Stampede,Assassin's Boots,93750,131250,4
Shavronne's Wrappings,Occultist's Vestment,91025,127435,6
Darkscorn,Assassin Bow,91025,127435,8
Kintsugi,Exquisite Leather,91025,127435,6
Tulfall,Opal Wand,2925,4095,3
Esh's Visage,Vaal Spirit Shield,15925,22295,4
Arborix,Assassin Bow,91025,127435,8
Apep's Supremacy,Vaal Spirit Shield,91025,127435,4
The Surging Thoughts,Legion Sword,91025,127435,6
The Admiral,Varnished Coat,91025,127435,6
Replica Cold Iron Point,Ezomyte Dagger,91025,127435,3
Replica Tulfall,Opal Wand,91025,127435,3
Abberath's Hooves,Goathide Boots,86525,121135,4
Mjölner,Gavel,85800,120120,6
Replica Abyssus,Ezomyte Burgonet,85800,120120,4
Replica Mistwall,Lacquered Buckler,85800,120120,4
The Iron Fortress,Crusader Plate,83300,116620,6
Iron Heart,Crusader Plate,83300,116620,6
Farrul's Pounce,Hydrascale Gauntlets,83300,116620,4
Fleshcrafter,Necromancer Silks,83300,116620,6
Gravebind,Hydrascale Gauntlets,83300,116620,4
Xoph's Nurture,Citadel Bow,2600,3640,8
Crown of the Tyrant,Magistrate Crown,80875,113225,4
Crest of Desire,Fluted Bascinet,80875,113225,4
Farrul's Bite,Harlequin Mask,78525,109935,4
Offering to the Serpent,Legion Gloves,78525,109935,4
Garb of the Ephemeral,Savant's Robe,76225,106715,6
Maata's Teaching,Karui Sceptre,76225,106715,6
Corpsewalker,Carnal Boots,74000,103600,4
The Fourth Vow,Devout Chainmail,74000,103600,6
The Devouring Diadem,Necromancer Circlet,71850,100590,4
Qotra's Regulator,Sovereign Spiked Shield,71850,100590,4
Atziri's Reflection,Golden Buckler,71850,100590,4
Sandstorm Visage,Necromancer Circlet,71850,100590,4
Utula's Hunger,Majestic Plate,69775,97685,6
Cloak of Defiance,Lacquered Garb,67725,94815,6
Skin of the Lords,Simple Robe,33150,46410,6
Zerphi's Heart,Paua Amulet,66300,92820,1
Replica Frostbreath,Ornate Mace,63850,89390,6
The Covenant,Spidersilk Robe,61975,86765,6
Anathema,Moonstone Ring,61975,86765,1
Replica Covenant,Spidersilk Robe,61975,86765,6
Winds of Change,Ancient Gauntlets,58425,81795,4
Death Rush,Amethyst Ring,56725,79415,1
Emperor's Vigilance,Steel Kite Shield,56725,79415,6
Mahuxotl's Machination,Steel Kite Shield,56725,79415,6
The Pariah,Unset Ring,55075,77105,1
Abhorrent Interrogation,Ambush Mitts,55075,77105,4
The Tempest's Liberation,Callous Mask,55075,77105,4
Perfidy,Glorious Plate,54800,76720,6
Hand of the Fervent,Zealot Gloves,51900,72660,4
Impresence,Onyx Amulet,77475,98135,1
Assailum,Sinner Tricorne,51650,72310,4
Mark of the Elder,Steel Ring,73050,92530,1
Mark of the Shaper,Opal Ring,73050,92530,1
Polaric Devastation,Opal Ring,48700,68180,1
Replica Soul Strike,Spike-Point Arrow Quiver,47500,66500,6
Replica Midnight Bargain,Engraved Wand,47500,66500,3
Brain Rattler,Meatgrinder,47275,66185,8
Razor of the Seventh Sun,Midnight Blade,47275,66185,6
Snakepit,Sapphire Ring,47275,66185,1
The Scourge,Terror Claw,47275,66185,4
Memory Vault,Praetor Crown,47275,66185,4
Grelwood Shank,Eternal Sword,47275,66185,6
Beltimber Blade,Eternal Sword,47275,66185,6
Vulconus,Demon Dagger,47275,66185,3
Augyre,Void Sceptre,47275,66185,6
Gloomfang,Blue Pearl Amulet,47275,66185,1
The Gull,Raven Mask,44775,62685,4
Severed in Sleep,Cutlass,1450,2030,3
United in Dream,Cutlass,7825,10955,3
Blackflame,Amethyst Ring,44775,62685,1
Maligaro's Virtuosity,Deerskin Gloves,44550,62370,4
Asenath's Gentle Touch,Silk Gloves,44550,62370,4
Perandus Signet,Paua Ring,44550,62370,1
Nebuloch,Nightmare Mace,66825,84645,6
Hopeshredder,Ranger Bow,66825,84645,8
Shimmeron,Tornado Wand,66825,84645,3
Beacon of Madness,Two-Toned Boots,44550,62370,4
Sunblast,Cloth Belt,43475,60865,2
Doon Cuebiyari,Vaal Sceptre,43250,60550,6
Death's Door,Crusader Boots,43250,60550,4
Auxium,Crystal Belt,42000,58800,2
Flamesight,Solaris Circlet,42000,58800,4
Galesight,Solaris Circlet,42000,58800,4
Thundersight,Solaris Circlet,42000,58800,4
The Ivory Tower,Saint's Hauberk,42000,58800,6
Leash of Oblation,Leather Belt,42000,58800,2
Mistwall,Lacquered Buckler,42000,58800,4
Maw of Mischief,Bone Helmet,42000,58800,4
The Burden of Truth,Crystal Belt,42000,58800,2
Shadowstitch,Sacrificial Garb,40775,57085,6
Hegemony's Era,Judgement Staff,39600,55440,8
Replica Restless Ward,Carnal Armour,39600,55440,6
Lioneye's Remorse,Pinnacle Tower Shield,38425,53795,8
Incandescent Heart,Saintly Chainmail,38425,53795,6
The Hungry Loop,Unset Ring,38425,53795,1
Chains of Command,Saintly Chainmail,38425,53795,6
Black Zenith,Fingerless Silk Gloves,38425,53795,4
Crown of Eyes,Hubris Circlet,37325,52255,4
Ylfeban's Trickery,Hubris Circlet,37325,52255,4
Voidwalker,Murder Boots,55988,70918,4
Bubonic Trail,Murder Boots,37325,52255,4
Craiceann's Pincers,Titan Gauntlets,37325,52255,4
Usurper's Penance,Eternal Burgonet,37325,52255,4
Replica Voidwalker,Murder Boots,55988,70918,4
Vorana's March,Runic Sabatons,37325,52255,4
Kaom's Spirit,Titan Gauntlets,37325,52255,4
The Shattered Divinity,Blunt Arrow Quiver,36400,50960,6
Mon'tregul's Grasp,Void Sceptre,36225,50715,6
Pledge of Hands,Judgement Staff,36225,50715,8
Kaom's Roots,Titan Greaves,36225,50715,4
Voll's Vision,Praetor Crown,36225,50715,4
Malachai's Vision,Praetor Crown,36225,50715,4
Cospri's Will,Assassin's Garb,36225,50715,6
Tinkerskin,Sadist Garb,36225,50715,6
Hand of Thought and Motion,Imperial Claw,5100,7140,4
The Infinite Pursuit,Titan Greaves,5100,7140,4
The Unshattered Will,Archon Kite Shield,36225,50715,6
Invictus Solaris,Archon Kite Shield,36225,50715,6
Cyclopean Coil,Leather Belt,54338,68828,2
Blasphemer's Grasp,Assassin's Mitts,54338,68828,4
The Grey Spire,Judgement Staff,36225,50715,8
Bitterbind Point,Titanium Spirit Shield,36225,50715,4
Nebulis,Void Sceptre,36225,50715,6
Atziri's Rule,Judgement Staff,36225,50715,8
Cadigan's Crown,Runic Crown,36225,50715,4
The Taming,Prismatic Ring,35350,49490,1
The Bringer of Rain,Nightmare Bascinet,35175,49245,4
Replica Oro's Sacrifice,Infernal Sword,35175,49245,8
Dawnbreaker,Colossal Tower Shield,35175,49245,8
Dreamfeather,Eternal Sword,34150,47810,6
Repentance,Crusader Gloves,34150,47810,4
Shaper's Touch,Crusader Gloves,51225,64885,4
The Enmity Divine,Imperial Staff,34150,47810,8
Vix Lunaris,Cardinal Round Shield,34150,47810,6
Voidfletcher,Primal Arrow Quiver,68300,81960,6
Hands of the High Templar,Crusader Gloves,34150,47810,4
Font of Thunder,Mirrored Spiked Shield,34150,47810,4
Replica Dreamfeather,Eternal Sword,34150,47810,6
The Goddess Scorned,Elegant Sword,33325,46655,6
Rime Gaze,Mind Cage,33150,46410,4
Infernal Mantle,Widowsilk Robe,33150,46410,6
Ming's Heart,Amethyst Ring,33150,46410,1
"Jack, the Axe",Vaal Hatchet,33150,46410,6
Doomsower,Lion Sword,33150,46410,8
Scold's Bridle,Mind Cage,33150,46410,4
The Formless Flame,Royal Burgonet,6100,8540,4
The Snowblind Grace,Zodiac Leather,6100,8540,6
Saqawal's Nest,Blood Raiment,33150,46410,6
Fenumus' Shroud,Widowsilk Robe,33150,46410,6
Hale Negator,Mind Cage,33150,46410,4
Echoes of Creation,Royal Burgonet,49725,62985,4
Taryn's Shiver,Maelström Staff,32200,45080,8
Alpha's Howl,Sinner Tricorne,32200,45080,4
Rebuke of the Vaal,Vaal Blade,32200,45080,6
Hezmana's Bloodlust,Vaal Axe,32200,45080,8
Reach of the Council,Spine Bow,32200,45080,8
Uul-Netol's Kiss,Vaal Axe,5925,8295,8
The Anticipation,Ezomyte Tower Shield,32200,45080,8
Replica Alpha's Howl,Sinner Tricorne,32200,45080,4
Daresso's Defiance,Full Dragonscale,31250,43750,6
Atziri's Acuity,Vaal Gauntlets,31250,43750,4
Fenumus' Spinnerets,Assassin's Boots,31250,43750,4
Crown of the Inward Eye,Prophet Crown,31250,43750,4
Astramentis,Onyx Amulet,30500,42700,1
Presence of Chayula,Onyx Amulet,30500,42700,1
Aul's Uprising,Onyx Amulet,30500,42700,1
Solstice Vigil,Onyx Amulet,45750,57950,1
Leadership's Price,Onyx Amulet,30500,42700,1
Crystallised Omniscience,Onyx Amulet,30500,42700,1
Ashes of the Stars,Onyx Amulet,30500,42700,1
Stormfire,Opal Ring,30425,42595,1
The Searing Touch,Lathi,30350,42490,8
Carcass Jack,Varnished Coat,30350,42490,6
Death's Oath,Astral Plate,30350,42490,6
The Vertex,Vaal Mask,30350,42490,4
Tulborn,Opal Wand,4275,5985,3
Esh's Mirror,Vaal Spirit Shield,5600,7840,4
Yriel's Fostering,Exquisite Leather,30350,42490,6
The Rippling Thoughts,Legion Sword,30350,42490,6
Perepiteia,Ezomyte Spiked Shield,30350,42490,4
Fractal Thoughts,Vaal Mask,30350,42490,4
Cold Iron Point,Ezomyte Dagger,30350,42490,3
Law of the Wilds,Hellion's Paw,30350,42490,4
Blunderbore,Astral Plate,30350,42490,6
Replica Wings of Entropy,Ezomyte Axe,30350,42490,8
Glimpse of Chaos,Vaal Mask,30350,42490,4
Dawnstrider,Vaal Greaves,30350,42490,4
Rigwald's Savagery,Royal Axe,29550,41370,6
Rigwald's Command,Midnight Blade,29550,41370,6
Slivertongue,Harbinger Bow,29550,41370,8
Obscurantis,Lion Pelt,29550,41370,4
Inya's Epiphany,Arcanist Slippers,29450,41230,4
Replica Inya's Epiphany,Arcanist Slippers,29450,41230,4
Abyssus,Ezomyte Burgonet,28600,40040,4
Lightning Coil,Desert Brigandine,28600,40040,6
Null's Inclination,Ranger Bow,28600,40040,8
Dyadian Dawn,Heavy Belt,28600,40040,2
Rigwald's Curse,Wereclaw Talisman,28600,40040,1
Grip of the Council,Arcanist Gloves,28600,40040,4
Saqawal's Flock,Silken Hood,28600,40040,4
The Iron Mass,Gladius,28600,40040,6
The Hidden Blade,Ambusher,28600,40040,3
The Fulcrum,Ezomyte Staff,28600,40040,8
Replica Grip of the Council,Arcanist Gloves,28600,40040,4
Cameria's Avarice,Gavel,28600,40040,6
Contract: The Twins,Vengeful Contract,28225,39515,1
Algor Mortis,Carnal Mitts,27850,38990,4
Saffell's Frame,Branded Kite Shield,27775,38885,6
Queen of the Forest,Destiny Leather,27775,38885,6
Saqawal's Talons,Hydrascale Boots,27775,38885,4
Breathstealer,Hydrascale Gauntlets,27775,38885,4
Expedition's End,Sentinel Jacket,27775,38885,6
Wilma's Requital,Solaris Circlet,27775,38885,4
Gamblesprint,Hydrascale Boots,27775,38885,4
Contract: Death to Darnaw,Naval Contract,27400,38360,1
Unyielding Flame,Archon Kite Shield,27050,37870,6
Xoph's Inception,Citadel Bow,3775,5285,8
Craiceann's Chitin,Magistrate Crown,26950,37730,4
Mask of the Stitched Demon,Magistrate Crown,26950,37730,4
Storm's Gift,Assassin's Mitts,26950,37730,4
Mask of the Tribunal,Magistrate Crown,26950,37730,4
Contract: Heart of Glory,Familial Contract,26600,37240,1
The Magnate,Studded Belt,26300,36820,2
The Torrent's Reclamation,Cloth Belt,26300,36820,2
Replica Soul Tether,Cloth Belt,26300,36820,2
Replica Ungil's Gauche,Boot Knife,26300,36820,3
Replica Badge of the Brotherhood,Turquoise Amulet,26300,36820,1
Perseverance,Vanguard Belt,26250,36750,2
The Black Cane,Royal Sceptre,26250,36750,6
Willowgift,Jade Amulet,26250,36750,1
Eye of Malice,Callous Mask,26250,36750,4
Ancient Skull,Bone Helmet,26250,36750,4
Mind of the Council,Harlequin Mask,26175,36645,4
The Crimson Storm,Steelwood Bow,26175,36645,8
Kaom's Binding,Heavy Belt,26175,36645,2
Contract: Breaking the Unbreakable,Preventative Contract,25825,36155,1
Contract: The Slaver King,Vigilante Contract,25825,36155,1
The Rat Cage,Sharkskin Tunic,25400,35560,6
Craiceann's Carapace,Golden Plate,25400,35560,6
Fate of the Vaal,Gemstone Sword,25400,35560,3
Replica Dragonfang's Flight,Onyx Amulet,25400,35560,1
Lioneye's Vision,Crusader Plate,24750,34650,6
Brinerot Mark,Unset Ring,24675,34545,1
Redblade Band,Unset Ring,24675,34545,1
Mutewind Seal,Unset Ring,24675,34545,1
Ngamahu's Flame,Abyssal Axe,24675,34545,8
Omeyocan,Carnal Boots,24675,34545,4
Tavukai,Coral Amulet,24675,34545,1
Replica Three-step Assault,Shagreen Boots,24675,34545,4
Temptation Step,Shagreen Boots,24675,34545,4
Great Old One's Tentacles,Eelskin Gloves,24025,33635,4
Ceaseless Feast,Spiked Gloves,24025,33635,4
Inextricable Fate,Fugitive Boots,24025,33635,4
Chitus' Apex,Necromancer Circlet,23950,33530,4
Daresso's Courage,Baroque Round Shield,23950,33530,6
Craiceann's Tracks,Goliath Greaves,23950,33530,4
Fenumus' Toxins,Necromancer Circlet,23950,33530,4
Eye of Innocence,Citrine Amulet,23625,33075,1
Leper's Alms,Mirrored Spiked Shield,23625,33075,4
Atziri's Foible,Paua Amulet,23375,32725,1
Ahkeli's Meadow,Ruby Ring,23375,32725,1
Replica Emberwake,Ruby Ring,23375,32725,1
Dyadus,Infernal Axe,23325,32655,6
Atziri's Step,Slink Boots,23325,32655,4
Cherrubim's Maleficence,Triumphant Lamellar,23325,32655,6
Eber's Unification,Hubris Circlet,23325,32655,4
Medved's Challenge,Runic Gauntlets,23325,32655,4
Rainbowstride,Conjurer Boots,23250,32550,4
Apep's Rage,Omen Wand,23250,32550,3
Lightpoacher,Great Crown,23250,32550,4
Forbidden Shako,Great Crown,23250,32550,4
Replica Infractem,Decimation Bow,23250,32550,8
The Beast Fur Shawl,Vaal Regalia,22650,31710,6
Touch of Anguish,Imperial Claw,22650,31710,4
Ahn's Contempt,Praetor Crown,22650,31710,4
Ahn's Might,Midnight Blade,22650,31710,6
Gorgon's Gaze,Regicide Mask,22575,31605,4
Profane Proxy,Unset Ring,22575,31605,1
Witchhunter's Judgment,Highborn Staff,22575,31605,8
Akoya's Gaze,Regicide Mask,22575,31605,4
The Ephemeral Bond,Lapis Amulet,22275,31185,1
Kongor's Undying Rage,Terror Maul,21975,30765,8
Ahn's Heritage,Colossal Tower Shield,21975,30765,8
Saqawal's Winds,Soldier Gloves,21925,30695,4
Legacy of Fury,Wyrmscale Boots,21925,30695,4
Devoto's Devotion,Nightmare Bascinet,21625,30275,4
Bloodgrip,Marble Amulet,21625,30275,1
Agnerod East,Imperial Staff,21350,29890,8
Agnerod North,Imperial Staff,21350,29890,8
Agnerod South,Imperial Staff,21350,29890,8
Agnerod West,Imperial Staff,21350,29890,8
Breath of the Council,Carnal Sceptre,21350,29890,6
The Poised Prism,Primal Arrow Quiver,21350,29890,6
Andvarius,Gold Ring,21275,29785,1
Star of Wraeclast,Ruby Amulet,21275,29785,1
Fenumus' Weave,Carnal Mitts,21275,29785,4
Replica Victario's Charity,Laminated Kite Shield,21275,29785,6
Replica Heartbreaker,Royal Skean,21275,29785,3
Worldcarver,Dragonscale Gauntlets,21000,29400,4
Painseeker,Shagreen Gloves,21000,29400,4
The Poet's Pen,Carved Wand,20775,29085,3
Putembo's Mountain,Topaz Ring,20775,29085,1
Rise of the Phoenix,Mosaic Kite Shield,20725,29015,6
Darkray Vectors,Dragonscale Boots,20725,29015,4
Vis Mortis,Necromancer Silks,20725,29015,6
Ventor's Gamble,Gold Ring,20725,29015,1
Malachai's Loop,Harmonic Spirit Shield,20725,29015,4
Cane of Kulemak,Serpentine Staff,20650,28910,8
The Scales of Justice,Chiming Spirit Shield,20650,28910,4
Bound Fate,Cloth Belt,20650,28910,2
Death's Hand,Karui Sceptre,20400,28560,6
Doryani's Catalyst,Vaal Sceptre,20125,28175,6
Soul Strike,Spike-Point Arrow Quiver,20125,28175,6
Geofri's Sanctuary,Elegant Ringmail,20125,28175,6
Hyrri's Truth,Jade Amulet,20125,28175,1
Rashkaldor's Patience,Jade Amulet,20050,28070,1
Maw of Conquest,Steel Circlet,20050,28070,4
The Jinxed Juju,Citrine Amulet,20050,28070,1
The Restless Ward,Carnal Armour,19800,27720,6
Replica Siegebreaker,Heavy Belt,19575,27405,2
Speaker's Wreath,Prophet Crown,19525,27335,4
The Stampede,Assassin's Boots,19525,27335,4
Actum,Butcher Axe,19525,27335,6
Cerberus Limb,Blood Sceptre,19475,27265,6
Replica Kalisa's Grace,Samite Gloves,19475,27265,4
Replica Innsbury Edge,Elder Sword,19475,27265,6
Jaws of Agony,Supreme Spiked Shield,19225,26915,4
Rive,Terror Claw,19225,26915,4
Mercenary's Lot,Slink Gloves,19225,26915,4
The Oppressor,Elegant Round Shield,19225,26915,6
Hyaon's Fury,Legion Sword,18975,26565,6
Singularity,Platinum Sceptre,18975,26565,6
Apep's Slumber,Vaal Spirit Shield,18975,26565,4
Belly of the Beast,Full Wyrmscale,18900,26460,6
Redblade Tramplers,Ancient Greaves,18900,26460,4
Veruso's Battering Rams,Titan Gauntlets,18650,26110,4
Asenath's Mark,Iron Circlet,18450,25830,4
Uzaza's Valley,Sapphire Ring,18450,25830,1
Scorpion's Call,Heavy Arrow Quiver,18400,25760,6
Soulthirst,Cloth Belt,18350,25690,2
The Tempest's Binding,Callous Mask,18350,25690,4
Slavedriver's Hand,Ambush Mitts,18350,25690,4
Vivinsect,Unset Ring,18350,25690,1
Replica Malachai's Artifice,Unset Ring,18350,25690,1
Replica Voideye,Unset Ring,18350,25690,1
Rotblood Promise,Unset Ring,18350,25690,1
Triumvirate Authority,Unset Ring,18350,25690,1
Izaro's Dilemma,Imperial Claw,18125,25375,4
Nuro's Harp,Harbinger Bow,18125,25375,8
Xoph's Blood,Amber Amulet,17900,25060,1
The Pandemonius,Jade Amulet,17900,25060,1
Choir of the Storm,Lapis Amulet,17900,25060,1
Replica Hyrri's Truth,Jade Amulet,17900,25060,1
Starkonja's Head,Silken Hood,17875,25025,4
Romira's Banquet,Diamond Ring,17875,25025,1
Scaeva,Gladius,17875,25025,6
Cane of Unravelling,Ezomyte Staff,17875,25025,8
Soulwrest,Ezomyte Staff,17875,25025,8
Cowl of the Thermophile,Ezomyte Burgonet,17875,25025,4
Cowl of the Cryophile,Silken Hood,17875,25025,4
The Blood Dance,Sharkskin Boots,17825,24955,4
Hinekora's Sight,Onyx Amulet,17825,24955,1
Replica Hinekora's Sight,Onyx Amulet,17825,24955,1
Oro's Sacrifice,Infernal Sword,17575,24605,8
Surgebinders,Dragonscale Gauntlets,17575,24605,4
Piscator's Vigil,Imbued Wand,17350,24290,3
The Dancing Dervish,Reaver Sword,17350,24290,8
Hiltless,Reaver Sword,17350,24290,8
Dendrobate,Sentinel Jacket,17350,24290,6
Cowl of the Ceraunophile,Solaris Circlet,17350,24290,4
Haemophilia,Serpentscale Gauntlets,17300,24220,4
Volkuur's Guidance,Zealot Gloves,17300,24220,4
Replica Volkuur's Guidance,Zealot Gloves,17300,24220,4
Callinellus Malleus,Auric Mace,17075,23905,6
The Goddess Unleashed,Eternal Sword,17075,23905,6
Allure,Vaal Claw,17075,23905,4
Debeon's Dirge,Despot Axe,17075,23905,8
White Wind,Imperial Skean,17075,23905,3
Kaom's Primacy,Karui Chopper,80875,113225,8
Snakebite,Assassin's Mitts,16850,23590,4
Ichimonji,Corsair Sword,16850,23590,3
Mask of the Spirit Drinker,Magistrate Crown,16850,23590,4
The Ghastly Theatre,Teak Round Shield,16850,23590,6
The Gluttonous Tide,Citadel Bow,16850,23590,8
Mutewind Pennant,Enameled Buckler,16800,23520,4
Mutewind Whispersteps,Serpentscale Boots,16800,23520,4
Tainted Pact,Coral Amulet,16800,23520,1
Null and Void,Legion Gloves,16350,22890,4
Kiloava's Bluster,Ironwood Buckler,16350,22890,4
The Supreme Truth,Crystal Sceptre,16300,22820,6
Nycta's Lantern,Crystal Sceptre,16300,22820,6
Tremor Rod,Military Staff,16300,22820,8
Brinerot Whalers,Trapper Boots,16300,22820,4
Allelopathy,Satin Gloves,16300,22820,4
Replica Allelopathy,Satin Gloves,16300,22820,4
Mark of the Doubting Knight,Platinum Kris,16100,22540,3
Skin of the Loyal,Simple Robe,2775,3885,6
Replica Atziri's Foible,Paua Amulet,15925,22295,1
Greed's Embrace,Golden Plate,15875,22225,6
Story of the Vaal,Gemstone Sword,15875,22225,3
Storm Secret,Topaz Ring,15875,22225,1
Ahuana's Bite,Sharktooth Arrow Quiver,15875,22225,6
Marylene's Fallacy,Lapis Amulet,15825,22155,1
Call of the Brotherhood,Two-Stone Ring,15825,22155,1
Emberwake,Ruby Ring,15825,22155,1
Trypanon,Great Mallet,15825,22155,8
